ID;ID_SETUPMETER;ID_PERIOD;ID_SETUPCONSUMER;ID_LAST_READING;READING_LAST;DATE_LAST;READING_NEXT;DATE_NEXT;KWH;CREATED;UPDATED;ID_USR;COMMENT;TRANS_WORK;ID_TURNOFF_TYPE
4117;21;1;13294;NULL;647,0000000;NULL;790,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;156;NULL;1;0
4118;22;1;15473;NULL;3557,0000000;NULL;3799,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;106;NULL;1;0
4119;23;1;18694;NULL;133280,0000000;NULL;134257,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4120;24;1;5459;NULL;15595,0000000;NULL;15789,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4121;25;1;5335;NULL;20,0000000;NULL;20,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4122;26;1;5463;NULL;1234,0000000;NULL;1234,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4123;27;1;5052;NULL;3144,0000000;NULL;3170,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4124;28;1;5839;NULL;11597,0000000;NULL;11915,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4125;29;1;6524;NULL;41970,0000000;NULL;41970,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4126;32;1;6061;NULL;78594,0000000;NULL;78894,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4127;33;1;6032;NULL;4800,0000000;NULL;4800,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4128;34;1;6546;NULL;18073,0000000;NULL;19423,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4129;36;1;6563;NULL;8621,0000000;NULL;8707,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4130;37;1;5581;NULL;49907,0000000;NULL;50963,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4131;38;1;7214;NULL;2281,0000000;NULL;2305,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4132;39;1;5610;NULL;105062,0000000;NULL;105062,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4133;40;1;4106;NULL;13,0000000;NULL;13,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;106;NULL;1;0
4134;41;1;4474;NULL;19200,0000000;NULL;21390,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;155;NULL;1;0
4135;42;1;5112;NULL;775934,0000000;NULL;788449,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;174;NULL;1;0
4136;43;1;20757;NULL;23781,0000000;NULL;26640,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;130;NULL;1;0
4137;44;1;28641;NULL;192748,0000000;NULL;201935,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;169;NULL;1;0
4138;45;1;27158;NULL;140,0000000;NULL;270,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;169;NULL;1;0
4139;46;1;5613;NULL;10,0000000;NULL;10,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4140;47;1;8945;NULL;5562,0000000;NULL;5615,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;147;NULL;1;0
4141;48;1;19211;NULL;288,0000000;NULL;288,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;136;NULL;1;0
4142;49;1;27384;NULL;161,0000000;NULL;182,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;111;NULL;1;0
4143;50;1;15678;NULL;24481,0000000;NULL;25017,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;129;NULL;1;0
4144;51;1;11675;NULL;2004,0000000;NULL;2379,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;146;NULL;1;0
4145;52;1;10314;NULL;1690,0000000;NULL;1767,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;129;NULL;1;0
